City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Yellowknife,20,CA,1584300276,63,62.46,-114.35,26.6,18.34
1,Itarema,57,BR,1584300010,81,-2.92,-39.92,83.64,6.38
2,Odienné,97,CI,1584300276,18,9.51,-7.57,93.72,3.0
3,Leshukonskoye,74,RU,1584300276,84,64.9,45.76,19.56,11.21
4,Cayenne,75,GF,1584300276,62,4.93,-52.33,86.0,11.41
5,Laguna,75,US,1584300276,81,38.42,-121.42,55.4,10.29
6,Rudnyy,0,KZ,1584300277,92,52.96,63.12,26.6,8.95
7,Nouakchott,0,MR,1584300277,60,18.09,-15.98,75.2,23.04
8,Leningradskiy,98,RU,1584300277,70,69.38,178.42,14.7,12.35
9,Lavrentiya,100,RU,1584300277,98,65.58,-171.0,28.56,7.92
10,Lábrea,99,BR,1584300277,88,-7.26,-64.8,84.9,3.85
11,Rondonópolis,18,BR,1584300063,62,-16.47,-54.64,87.78,4.29
12,Līsakovsk,0,KZ,1584300277,85,52.54,62.49,28.92,9.53
13,Vestmanna,87,FO,1584300277,74,62.16,-7.17,30.2,13.35
14,Coquimbo,75,CL,1584300161,77,-29.95,-71.34,64.4,13.87
15,General Roca,0,AR,1584300277,17,-39.03,-67.58,82.4,8.05
16,San Cristobal,75,VE,1584300277,58,7.77,-72.22,82.4,5.82
17,Grand-Lahou,92,CI,1584300277,80,5.14,-5.02,83.46,13.47
18,Wairoa,22,NZ,1584300277,96,-39.03,177.37,54.0,5.01
19,Guerrero Negro,0,MX,1584300003,61,27.98,-114.06,64.2,14.07
20,Eyl,0,SO,1584300278,81,7.98,49.82,79.68,13.29
21,Hermanus,26,ZA,1584300013,77,-34.42,19.23,64.99,4.0
22,Plattsburgh,1,US,1584300198,58,44.7,-73.45,30.0,19.46
23,Sitka,1,US,1584300278,74,57.05,-135.33,37.4,3.36
24,Øksfjord,90,NO,1584300219,62,70.24,22.35,24.8,10.29
25,Derzhavīnsk,100,KZ,1584300278,98,51.1,66.32,33.6,9.37
26,Ilesha,49,NG,1584300278,33,7.14,5.26,88.5,1.05
27,Kisanga,8,TZ,1584300278,84,-7.44,37.7,78.06,1.23
28,Vostok,85,RU,1584300278,96,46.49,135.88,4.8,4.12
29,Digoin,1,FR,1584300278,50,46.48,3.98,57.2,14.99
30,Moose Factory,1,CA,1584300278,51,51.26,-80.61,10.4,3.36
31,Thompson,20,CA,1584300278,43,55.74,-97.86,15.8,14.99
32,Butaritari,0,KI,1584300278,81,3.07,172.79,83.64,17.92
33,Evensk,100,RU,1584300279,93,61.95,159.23,3.0,7.72
34,Bambous Virieux,40,MU,1584300279,83,-20.34,57.76,77.0,9.86
35,Barcs,0,HU,1584300279,48,45.96,17.46,39.54,4.76
36,Hithadhoo,34,MV,1584300020,57,-0.6,73.08,84.18,3.85
37,Caraquet,1,CA,1584300279,42,47.79,-64.94,28.99,12.75
38,Mossamedes,56,AO,1584300279,87,-15.2,12.15,75.54,11.07
39,Rockingham,1,US,1584300279,35,42.97,-71.1,48.99,8.05
40,Port Alfred,90,ZA,1584300279,97,-33.59,26.89,63.0,1.01
41,Roebourne,18,AU,1584300279,62,-20.78,117.13,83.64,11.54
42,Gorlice,0,PL,1584300279,47,49.66,21.16,35.01,5.64
43,Muli,18,MV,1584300279,69,2.92,73.57,84.54,6.26
44,Paka,92,MY,1584300279,83,4.64,103.44,82.4,6.93
45,Biltine,100,TD,1584300280,12,14.53,20.92,80.94,8.7
46,Narasannapeta,69,IN,1584300280,88,18.42,84.05,75.18,2.24
47,Inyonga,80,TZ,1584300280,88,-6.72,32.07,69.78,1.68
48,Necochea,0,AR,1584300280,64,-38.55,-58.74,70.0,5.01
49,Indramayu,95,ID,1584300280,84,-6.33,108.32,79.5,3.65
50,Kuopio,75,FI,1584300280,64,62.89,27.68,37.4,20.8
51,Moussoro,83,TD,1584300280,8,13.64,16.49,80.58,10.76
52,Altay,0,CN,1584300280,38,47.87,88.12,22.8,6.15
53,Sørkjosen,82,NO,1584300280,59,69.8,20.93,26.58,15.73
54,East Chicago,1,US,1584300280,60,41.64,-87.45,45.0,13.87
55,Ushuaia,40,AR,1584300280,48,-54.8,-68.3,66.2,5.82
56,San Policarpo,21,PH,1584300280,77,12.18,125.51,76.98,8.7
57,Qaanaaq,100,GL,1584300280,64,77.48,-69.36,-12.3,2.39
58,The Valley,40,AI,1584300281,54,18.22,-63.06,82.4,10.29
59,Hong Kong,20,HK,1584300259,72,22.29,114.16,69.01,11.41
60,Ponta do Sol,40,PT,1584300085,63,32.67,-17.1,62.6,13.87
61,Arlit,0,NE,1584300281,9,18.74,7.39,82.02,7.61
62,Lebu,0,CL,1584300281,40,-37.62,-73.65,67.98,10.67
63,Myanaung,89,MM,1584300281,32,18.28,95.32,76.44,3.2
64,Cuamba,26,MZ,1584300281,82,-14.8,36.54,70.68,5.77
65,Maralal,100,KE,1584300281,62,1.1,36.7,71.94,16.93
66,Rio Grande,90,BR,1584300229,74,-32.03,-52.1,78.8,13.87
67,Holland,1,US,1584300281,39,42.79,-86.11,45.0,10.29
68,Pangnirtung,75,CA,1584300281,61,66.15,-65.71,-20.2,2.77
69,Bowen,0,AU,1584300222,93,-20.02,148.23,72.0,1.12
70,Hudiksvall,100,SE,1584300281,83,61.73,17.1,42.01,5.01
71,Sirte,0,LY,1584300281,69,31.21,16.59,63.66,13.29
72,Nānākuli,75,US,1584300282,88,21.39,-158.15,80.6,3.36
73,Kostomuksha,100,RU,1584300282,83,64.57,30.58,30.54,16.84
74,Muisne,75,EC,1584300282,79,0.6,-80.03,84.2,4.7
75,Chase,5,CA,1584300282,27,50.82,-119.69,26.6,9.17
76,Yar-Sale,78,RU,1584300100,81,66.83,70.83,-6.18,5.93
77,Fort-Shevchenko,65,KZ,1584300282,56,44.51,50.26,43.68,9.31
78,Cadillac,1,US,1584300282,29,44.25,-85.4,42.01,3.36
79,Lagoa,0,PT,1584300282,70,39.05,-27.98,58.62,3.98
80,Vestmannaeyjar,90,IS,1584300282,64,63.44,-20.27,39.2,13.87
81,Tukan,96,RU,1584300282,95,53.84,57.46,26.94,3.18
82,Sept-Îles,90,CA,1584300282,62,50.2,-66.38,21.99,14.99
83,Kavaratti,1,IN,1584300009,69,10.57,72.64,83.1,7.18
84,Wahiawā,75,US,1584300282,88,21.5,-158.02,80.6,3.36
85,Uray,100,RU,1584300283,81,60.12,64.78,26.04,11.5
86,Ürümqi,0,CN,1584300283,48,43.8,87.6,42.8,8.95
87,Bouillante,0,GP,1584300283,61,16.13,-61.77,82.4,3.36
88,Tura,52,IN,1584300008,69,25.52,90.22,66.72,2.21
89,Mahon,0,ES,1584300283,81,39.89,4.27,53.6,8.05
90,Vanimo,100,PG,1584300283,76,-2.67,141.3,81.3,11.1
91,Faya,8,SA,1584300283,82,18.39,42.45,60.8,6.93
92,Cape Canaveral,1,US,1584300283,61,28.41,-80.6,87.8,6.93
93,Bandarbeyla,0,SO,1584300025,77,9.49,50.81,79.68,12.17
94,Umeå,75,SE,1584300283,86,63.83,20.26,37.4,17.22
95,Limbang,75,MY,1584300283,83,4.75,115.0,80.6,5.82
96,Tazovsky,100,RU,1584300283,89,67.47,78.7,-5.1,6.73
97,Puerto Ayora,20,EC,1584300283,70,-0.74,-90.35,86.0,11.41
98,Tual,100,ID,1584300283,81,-5.67,132.75,79.86,12.33
99,Umluj,0,SA,1584300043,55,25.02,37.27,70.14,7.9
100,Broome,1,US,1584300284,23,42.25,-75.83,44.01,16.11
101,Chipinge,8,ZW,1584300284,63,-20.19,32.62,72.66,6.89
102,Lorengau,100,PG,1584300024,75,-2.02,147.27,83.28,12.33
103,Pokosnoye,67,RU,1584300284,89,55.53,101.05,29.28,11.79
104,Puksoozero,0,RU,1584300284,85,62.59,40.61,20.28,10.8
105,Gao,25,ML,1584300256,9,16.64,1.64,89.22,6.17
106,Aurangabad,65,IN,1584300284,35,19.88,75.33,73.4,9.84
107,Bāglung,48,NP,1584300284,48,28.27,83.59,33.42,10.58
108,Shingū,42,JP,1584300038,69,33.73,135.98,46.2,22.12
109,Pevek,96,RU,1584300013,94,69.7,170.31,8.76,13.13
110,Aksay,97,RU,1584300284,53,47.26,39.87,26.6,6.71
111,Vao,41,NC,1584300284,72,-22.67,167.48,84.0,45.79
112,Codrington,0,AU,1584300285,78,-38.27,141.97,58.62,14.36
113,Itakyry,0,PY,1584300244,23,-24.93,-55.22,97.68,7.09
114,Al Bardīyah,0,LY,1584300285,72,31.76,25.09,62.94,4.7
115,Geraldton,72,AU,1584300285,88,-28.77,114.6,66.2,9.1
116,Xinyang,88,CN,1584300285,52,32.12,114.07,55.02,1.45
117,Itoman,20,JP,1584300285,51,26.12,127.67,60.8,13.87
118,Pocatello,75,US,1584300010,75,42.87,-112.45,44.01,5.82
119,Jamestown,1,US,1584299990,41,42.1,-79.24,44.01,14.99
120,Tabou,100,CI,1584300285,84,4.42,-7.35,80.4,4.81
121,Port Macquarie,75,AU,1584300285,100,-31.43,152.92,61.0,8.05
122,Mount Gambier,0,AU,1584300285,93,-37.83,140.77,44.6,5.35
123,Kuantan,20,MY,1584300285,94,3.81,103.33,78.8,3.36
124,Ribeira Brava,40,PT,1584300285,63,32.65,-17.07,62.6,13.87
125,Gisborne,66,NZ,1584300285,96,-38.65,178.0,54.0,5.01
126,Olinda,40,BR,1584300286,74,-8.01,-34.86,84.2,9.17
127,Huangpi,79,CN,1584300286,54,30.88,114.38,59.0,6.71
128,Katima Mulilo,98,NA,1584300286,100,-17.5,24.27,73.4,2.24
129,Korla,91,CN,1584300041,57,41.76,86.15,46.0,4.0
130,Kot Samaba,100,PK,1584300286,33,28.55,70.47,71.76,6.8
131,Caravelas,100,BR,1584300286,75,-17.71,-39.25,80.94,7.54
132,Naze,0,JP,1584300286,51,28.37,129.48,60.8,24.16
133,Natchitoches,90,US,1584300286,77,31.77,-93.13,77.0,8.05
134,Mehrān,20,IR,1584300286,87,33.12,46.16,48.2,2.24
135,Ulladulla,75,AU,1584300286,100,-35.35,150.47,62.01,13.87
136,Rota,40,ES,1584300286,87,36.62,-6.36,62.01,10.29
137,Kissidougou,100,GN,1584300286,24,9.18,-10.1,91.92,1.23
138,Xaxim,20,BR,1584300287,34,-26.96,-52.53,93.99,9.17
139,Keuruu,90,FI,1584300287,80,62.27,24.7,37.4,19.46
140,Taoudenni,0,ML,1584300063,4,22.68,-3.98,89.94,10.02
141,Tasiilaq,100,GL,1584300287,35,65.61,-37.64,10.4,24.16
142,Mayo,75,US,1584300287,61,38.89,-76.51,52.0,8.05
143,Walvis Bay,5,NA,1584300287,88,-22.96,14.51,62.6,8.05
144,Morro da Fumaça,48,BR,1584300287,38,-28.65,-49.21,89.76,6.13
145,Muğla Province,40,TR,1584300287,93,37.23,28.36,59.0,4.7
146,Grants Pass,75,US,1584300201,75,42.44,-123.33,46.0,2.33
147,Saint George,75,US,1584300266,48,37.1,-113.58,62.01,10.29
148,Mayfield,90,US,1584300287,75,36.74,-88.64,43.0,5.82
149,Ulety,97,RU,1584300288,86,51.36,112.48,24.42,9.98
150,Formosa do Rio Preto,100,BR,1584300288,90,-11.05,-45.19,77.88,5.68
151,Norman Wells,75,CA,1584300288,61,65.28,-126.83,17.6,18.34
152,Bluff,76,NZ,1584299999,93,-46.6,168.33,53.01,15.01
153,Wellington,50,NZ,1584300196,82,-41.29,174.78,62.01,18.34
154,Egvekinot,99,RU,1584300288,99,66.32,-179.17,8.22,6.24
155,Sola,75,VU,1584300288,83,-13.88,167.55,82.4,23.87
156,Bodden Town,20,KY,1584300288,70,19.28,-81.25,84.2,18.34
157,Shizunai-furukawachō,99,JP,1584300288,69,42.33,142.37,22.62,3.38
158,Tucupita,81,VE,1584300288,42,9.06,-62.05,95.34,2.89
159,Salalah,75,OM,1584300042,65,17.02,54.09,77.0,10.29
160,Plastun,0,RU,1584300289,72,44.76,136.29,12.9,10.4
161,Meadow Lake,1,US,1584300289,28,34.8,-106.54,63.0,4.7
162,Bonthe,100,SL,1584300289,62,7.53,-12.51,84.72,11.99
163,Huarmey,47,PE,1584300289,46,-10.07,-78.15,85.26,11.1
164,Tomatlán,74,MX,1584300289,39,19.93,-105.25,91.02,5.59
165,Vestnes,75,NO,1584300289,98,62.63,7.09,39.2,12.75
166,Ambilobe,100,MG,1584300289,90,-13.2,49.05,79.5,9.73
167,Mar del Plata,20,AR,1584300023,59,-38.0,-57.56,68.0,9.17
168,Hilo,90,US,1584300289,73,19.73,-155.09,75.2,4.7
169,Hamilton,90,US,1584300289,76,39.18,-84.53,46.0,10.29
170,Boguchany,94,RU,1584300289,91,58.38,97.45,30.36,9.75
171,Banda Aceh,100,ID,1584300290,93,5.56,95.32,75.72,5.26
172,Beloha,18,MG,1584300290,87,-25.17,45.05,72.48,12.62
173,Desaguadero,27,PE,1584300290,56,-16.57,-69.04,55.74,11.61
174,Ancud,20,CL,1584300290,56,-41.87,-73.82,68.0,8.05
175,Brainerd,75,US,1584300290,55,46.36,-94.2,33.8,6.29
176,Kaputa,99,ZM,1584300290,93,-8.47,29.66,69.06,2.08
177,Hammerfest,75,NO,1584300061,53,70.66,23.68,24.8,11.41
178,Aklavik,20,CA,1584300006,55,68.22,-135.01,8.6,9.17
179,Changtu,0,CN,1584300290,41,42.78,124.1,22.98,3.53
180,Petropavlovsk-Kamchatskiy,90,RU,1584300290,93,53.05,158.65,35.6,42.5
181,Voyvozh,59,RU,1584300290,95,62.89,54.96,3.0,2.66
182,Labuhan,52,ID,1584300066,91,-6.88,112.21,76.08,2.73
183,Bengkulu,93,ID,1584300290,88,-3.8,102.27,75.36,3.31
184,Plettenberg Bay,100,ZA,1584300291,89,-34.05,23.37,61.68,1.72
185,Lieksa,98,FI,1584300291,67,63.32,30.02,32.7,17.29
186,Morales,55,CO,1584300291,77,2.76,-76.62,76.98,1.88
187,Grindavik,90,IS,1584300291,74,63.84,-22.43,35.6,27.51
188,Punta Arenas,100,CL,1584300256,63,-53.15,-70.92,62.6,29.97
189,Puerto Lleras,62,CO,1584300291,53,3.02,-73.4,90.12,5.75
190,Krasnopillya,100,UA,1584300291,58,50.77,35.26,30.36,13.42
191,Simpang,1,ID,1584300291,97,-1.27,104.08,74.46,2.64
192,Cap Malheureux,40,MU,1584300018,83,-19.98,57.61,77.0,9.75
193,Mahébourg,40,MU,1584300291,83,-20.41,57.7,77.0,5.01
194,Ola,87,RU,1584300291,91,59.58,151.28,-3.12,6.6
195,Bonavista,66,CA,1584300291,77,48.65,-53.11,30.0,10.0
196,Alnashi,89,RU,1584300291,98,56.19,52.48,32.88,4.34
197,Makkah al Mukarramah,0,SA,1584300292,56,21.43,39.83,69.06,7.56
198,Kiryat Gat,66,IL,1584300067,82,31.61,34.76,62.6,3.36
199,Avera,90,US,1584300292,68,33.19,-82.53,73.4,12.75
200,Arraial do Cabo,0,BR,1584300292,66,-22.97,-42.03,86.0,18.34
201,Williston,90,US,1584300292,86,48.15,-103.62,30.2,6.93
202,Mazamari,100,PE,1584300292,80,-11.33,-74.53,73.2,1.52
203,Ilebo,69,CD,1584300292,79,-4.32,20.58,77.52,1.25
204,Shache,0,CN,1584300027,64,38.42,77.24,50.0,5.08
205,Topolobampo,90,MX,1584300292,49,25.6,-109.05,73.4,11.41
206,Ostrovnoy,100,RU,1584300292,89,68.05,39.51,25.5,24.23
207,Regeneração,100,BR,1584300292,80,-6.24,-42.69,82.92,5.03
208,Lüderitz,0,NA,1584300292,60,-26.65,15.16,71.6,13.87
209,Manama,11,BH,1584300008,64,26.22,50.58,73.4,12.75
210,Rawson,17,AR,1584300293,51,-43.3,-65.1,65.64,15.5
211,Pulandian,0,CN,1584300293,53,39.4,121.97,23.0,4.47
212,Oodweyne,30,SO,1584300293,54,9.41,45.06,72.48,5.28
213,Bathsheba,20,BB,1584300293,65,13.22,-59.52,82.4,11.41
214,Karligan,69,PH,1584300293,86,14.97,122.05,76.26,12.03
215,Sur,99,OM,1584300034,69,22.57,59.53,69.42,8.3
216,Kedrovyy,40,RU,1584300293,64,56.17,91.82,37.4,6.71
217,Voznesen'ye,5,RU,1584300293,55,61.01,35.48,28.38,15.1
218,Gazi,20,GR,1584300293,87,35.33,25.07,60.8,10.29
219,Philadelphia,40,US,1584300121,34,39.95,-75.16,55.4,4.7
220,Castro,3,BR,1584300293,42,-24.79,-50.01,84.9,4.85
221,Gambēla,51,ET,1584300056,56,8.25,34.58,82.38,6.22
222,Norwich,40,GB,1584300293,93,52.63,1.3,46.99,8.05
223,Coffs Harbour,49,AU,1584300293,93,-30.3,153.13,63.0,13.87
224,Pierre,90,US,1584300294,80,44.37,-100.35,35.01,24.16
225,Jaisalmer,100,IN,1584300060,27,26.91,70.92,72.84,11.27
226,Tiksi,99,RU,1584300294,87,71.69,128.87,3.0,18.37
227,Coahuayana Viejo,36,MX,1584300201,54,18.73,-103.68,84.72,5.86
228,East London,20,ZA,1584300294,88,-33.02,27.91,68.0,8.05
229,Kyshtovka,100,RU,1584300294,91,56.55,76.63,34.32,18.9
230,Dehlorān,4,IR,1584300294,62,32.69,47.27,62.4,8.81
231,Serzhen'-Yurt,95,RU,1584300294,70,43.12,45.99,46.4,2.24
232,Nome,90,US,1584300028,100,64.5,-165.41,26.6,13.87
233,Port-Gentil,40,GA,1584300294,88,-0.72,8.78,82.4,6.93
234,Zhangye,100,CN,1584300294,34,38.93,100.45,41.34,5.37
235,Santa Vitória do Palmar,100,BR,1584300294,56,-33.52,-53.37,73.2,10.65
236,Dingle,18,PH,1584300172,86,11.0,122.67,71.4,9.31
237,Mackay,40,AU,1584300295,88,-21.15,149.2,73.0,5.82
238,Zboriv,0,UA,1584300295,48,49.66,25.14,30.54,0.89
239,Kaitangata,90,NZ,1584300295,69,-46.28,169.85,61.0,1.01
240,Rome,1,US,1584300185,30,43.21,-75.46,41.0,8.05
241,Tuktoyaktuk,90,CA,1584300295,77,69.45,-133.04,-2.2,20.8
242,Bosaso,0,SO,1584300235,83,11.28,49.18,77.52,12.73
243,Gerede,100,TR,1584300295,96,40.8,32.2,36.12,6.26
244,Açucena,43,BR,1584300295,71,-19.07,-42.55,77.16,5.66
245,Khuzhir,85,RU,1584300295,91,53.19,107.34,28.02,12.91
246,Mendoza,0,AR,1584300174,21,-32.89,-68.83,78.8,6.93
247,Hobyo,59,SO,1584300295,76,5.35,48.53,81.3,13.11
248,Kasongo,0,CD,1584300295,86,-4.45,26.67,75.0,1.54
249,Khatanga,100,RU,1584300007,90,71.97,102.5,-16.26,8.81
